* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2023 12:35:09 PM
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: 
* Measurement: Mar 10
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
189.331070 67.180 174.7292
189.697281 67.173 174.7222
190.063492 67.165 174.7153
190.429703 67.158 174.7086
190.795914 67.150 174.7019
191.162125 67.143 174.6954
191.528336 67.135 174.6889
191.894547 67.128 174.6826
192.260758 67.120 174.6764
192.626969 67.113 174.6703
192.993180 67.106 174.6642
193.359391 67.098 174.6583
193.725602 67.091 174.6525
194.091813 67.084 174.6467
194.458024 67.077 174.6410
194.824235 67.069 174.6354
195.190446 67.062 174.6299
195.556657 67.055 174.6244
195.922868 67.048 174.6190
196.289079 67.041 174.6137
196.655290 67.034 174.6085
197.021501 67.027 174.6033
197.387712 67.020 174.5981
197.753923 67.013 174.5931
198.120134 67.006 174.5881
198.486345 66.999 174.5831
198.852556 66.992 174.5782
199.218766 66.985 174.5735
199.584977 66.978 174.5687
199.951188 66.971 174.5640
200.317399 66.965 174.5594
200.683610 66.958 174.5549
201.049821 66.951 174.5504
201.416032 66.944 174.5460
201.782243 66.938 174.5417
202.148454 66.931 174.5374
202.514665 66.924 174.5332
202.880876 66.918 174.5291
203.247087 66.911 174.5250
203.613298 66.904 174.5211
203.979509 66.898 174.5172
204.345720 66.891 174.5133
204.711931 66.885 174.5095
205.078142 66.878 174.5059
205.444353 66.872 174.5022
205.810564 66.865 174.4987
206.176775 66.859 174.4952
206.542986 66.853 174.4918
206.909197 66.846 174.4885
207.275408 66.840 174.4852
207.641619 66.834 174.4821
208.007830 66.827 174.4789
208.374041 66.821 174.4760
208.740252 66.815 174.4730
209.106463 66.808 174.4702
209.472674 66.802 174.4675
209.838885 66.796 174.4648
210.205095 66.790 174.4623
210.571306 66.784 174.4598
210.937517 66.777 174.4575
211.303728 66.771 174.4551
211.669939 66.765 174.4530
212.036150 66.759 174.4509
212.402361 66.753 174.4490
212.768572 66.747 174.4471
213.134783 66.741 174.4454
213.500994 66.735 174.4437
213.867205 66.729 174.4421
214.233416 66.723 174.4407
214.599627 66.717 174.4394
214.965838 66.711 174.4382
215.332049 66.705 174.4370
215.698260 66.699 174.4360
216.064471 66.693 174.4351
216.430682 66.687 174.4343
216.796893 66.681 174.4335
217.163104 66.675 174.4329
217.529315 66.669 174.4323
217.895526 66.663 174.4318
218.261737 66.657 174.4315
218.627948 66.651 174.4312
218.994159 66.645 174.4309
219.360370 66.640 174.4307
