* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2023 12:33:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Mar 10
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
251.220724 66.840 172.7047
251.586935 66.836 172.7100
251.953146 66.831 172.7155
252.319357 66.826 172.7209
252.685568 66.822 172.7264
253.051779 66.817 172.7319
253.417990 66.812 172.7376
253.784201 66.808 172.7433
254.150412 66.803 172.7490
254.516623 66.799 172.7548
254.882834 66.794 172.7607
255.249044 66.790 172.7666
255.615255 66.785 172.7725
255.981466 66.781 172.7786
256.347677 66.776 172.7846
256.713888 66.771 172.7907
257.080099 66.767 172.7969
257.446310 66.763 172.8030
257.812521 66.758 172.8093
258.178732 66.754 172.8156
258.544943 66.749 172.8219
258.911154 66.745 172.8282
259.277365 66.740 172.8347
259.643576 66.736 172.8411
260.009787 66.731 172.8475
260.375998 66.727 172.8540
260.742209 66.723 172.8605
261.108420 66.718 172.8671
261.474631 66.714 172.8737
261.840842 66.710 172.8804
262.207053 66.705 172.8870
262.573264 66.701 172.8937
262.939475 66.697 172.9004
263.305686 66.692 172.9072
263.671897 66.688 172.9139
264.038108 66.684 172.9208
264.404319 66.679 172.9276
264.770530 66.675 172.9344
265.136741 66.671 172.9413
265.502952 66.667 172.9483
265.869163 66.662 172.9553
266.235373 66.658 172.9622
266.601584 66.654 172.9692
266.967795 66.650 172.9763
267.334006 66.645 172.9834
267.700217 66.641 172.9905
268.066428 66.637 172.9976
268.432639 66.633 173.0048
268.798850 66.629 173.0120
269.165061 66.624 173.0192
269.531272 66.620 173.0265
269.897483 66.616 173.0338
270.263694 66.612 173.0411
270.629905 66.608 173.0484
270.996116 66.604 173.0558
271.362327 66.600 173.0632
271.728538 66.596 173.0706
272.094749 66.592 173.0781
272.460960 66.587 173.0856
272.827171 66.583 173.0931
273.193382 66.579 173.1006
273.559593 66.575 173.1082
273.925804 66.571 173.1158
274.292015 66.567 173.1234
274.658226 66.563 173.1311
275.024437 66.559 173.1387
275.390648 66.555 173.1465
275.756859 66.551 173.1542
276.123070 66.547 173.1619
276.489281 66.543 173.1697
276.855492 66.539 173.1775
277.221703 66.535 173.1853
277.587913 66.531 173.1932
277.954124 66.528 173.2010
278.320335 66.524 173.2089
278.686546 66.520 173.2169
279.052757 66.516 173.2248
279.418968 66.512 173.2328
279.785179 66.508 173.2408
280.151390 66.504 173.2488
280.517601 66.500 173.2568
280.883812 66.497 173.2649
281.250023 66.493 173.2729
281.616234 66.489 173.2811
281.982445 66.485 173.2892
282.348656 66.481 173.2974
282.714867 66.478 173.3055
283.081078 66.474 173.3137
283.447289 66.470 173.3219
283.813500 66.466 173.3301
284.179711 66.463 173.3384
284.545922 66.459 173.3467
